date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:50	2373/2373	---M--	200	added ('OK')	image/png	etag:%222158e689597c6009e281c1014429c207%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981521fe6bb0c0f_diesel.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981521fe6bb0c0f_diesel.png	(from https://www.widelab.co/)
18:35:50	4424/4424	---M--	200	added ('OK')	image/png	etag:%22d28676277d5f7d7709d3692871031c51%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981523ccebb0c0b_wework.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981523ccebb0c0b_wework.png	(from https://www.widelab.co/)
18:35:50	2276/2276	---M--	200	added ('OK')	image/png	etag:%22384a0bb9497f66b9fa9c20c7d978523a%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da98152861abb0c12_hopin.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da98152861abb0c12_hopin.png	(from https://www.widelab.co/)
18:35:50	3225/3225	---M--	200	added ('OK')	image/png	etag:%2266bc86c33b770e3568a0b48d69865625%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981524830bb0c0d_moncler.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981524830bb0c0d_moncler.png	(from https://www.widelab.co/)
18:35:51	3365/3365	---M--	200	added ('OK')	image/png	etag:%2246d6fc2938df7ebf8329b38d5c7d95df%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da98152edc4bb0c11_wibbitz.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da98152edc4bb0c11_wibbitz.png	(from https://www.widelab.co/)
18:35:51	4475/4475	---M--	200	added ('OK')	image/png	etag:%226cd5fc4f66d6ceea5988ecfd15b91602%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da9815209b3bb0c0c_koro.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da9815209b3bb0c0c_koro.png	(from https://www.widelab.co/)
18:35:51	4034/4034	---M--	200	added ('OK')	image/png	etag:%2240f49f381b0a662fef80e99c0d522835%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da98152e828bb0c0e_cloudkitchens.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da98152e828bb0c0e_cloudkitchens.png	(from https://www.widelab.co/)
18:35:51	4819/4819	---M--	200	added ('OK')	image/png	etag:%2234abbab0e6efbde64aaf5dae01d7e43e%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981521c03bb0c10_fitch-ratings.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981521c03bb0c10_fitch-ratings.png	(from https://www.widelab.co/)
18:35:52	2742/2742	---M--	200	added ('OK')	image/png	etag:%22e83ca662083c64e90a30a2b587f16428%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981528c9fbb0c0a_trolley.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981528c9fbb0c0a_trolley.png	(from https://www.widelab.co/)
18:35:52	3026/3026	---M--	200	added ('OK')	image/png	etag:%22eac609c8f1daae61440b14fd99b22220%22	https://cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981527c18bb0c13_walkme.png	C:/Users/guilh/Downloads/Genesis/cdn.prod.website-files.com/6422b97da98152839ebb0b60/6422b97da981527c18bb0c13_walkme.png	(from https://www.widelab.co/)
